entity_1_id,entity_1_name,relationship_type,entity_2_id,entity_2_name,category,source,notes
larry_fink,Larry Fink,CEO_of,blackrock,BlackRock Inc.,people→company,https://www.blackrock.com/corporate/about-us/leadership/larry-fink,Current CEO
blackrock,BlackRock Inc.,owns_stake_in,raytheon,Raytheon Technologies,finance→military,https://investigate.afsc.org/company/blackrock,7.5% via ETFs
blackrock,BlackRock Inc.,profited_from,op_edge,Operation Protective Edge,finance→war,https://www.opensecrets.org/news/2021/05/us-weapons-israel-defense-companies-lobbying,Indirect via arms holdings
blackrock,BlackRock Inc.,owns_stake_in,lockheed_martin,Lockheed Martin,finance→military,https://investigate.afsc.org/company/blackrock,Used in Gaza strikes
blackrock,BlackRock Inc.,owns_share_of,bloomberg,Bloomberg LP,finance→media,https://etfdb.com,Via indexed funds
larry_fink,Larry Fink,sits_on_board_of,wef,World Economic Forum,people→ngo,https://www.weforum.org/people/larry-fink,Global elite forum
raytheon,Raytheon Technologies,supplied_weapons_to,op_edge,Operation Protective Edge,military→war,https://www.sipri.org,Provided missile systems
cnn,CNN,covered,op_edge,Operation Protective Edge,media→war,https://cnn.com/middleeast,Framed as retaliation
bloomberg,Bloomberg LP,covered,op_edge,Operation Protective Edge,media→war,https://www.bloomberg.com,Focused on IDF responses
op_edge,Operation Protective Edge,resulted_in,pal_casualties,Palestinian Civilian Casualties,war→impact,https://www.ochaopt.org/content/key-figures-gaza-2014,"Over 2,000 deaths"
blackrock,BlackRock Inc.,manages_assets_for,us_gov,United States Government,finance→state,https://www.blackrock.com/solutions/public-policy,Advisor to U.S. Fed
us_gov,United States Government,funds,op_edge,Operation Protective Edge,state→war,https://www.state.gov/u-s-security-cooperation-with-israel/,$3.8B/year military aid
us_gov,United States Government,protects_at_UN,israel_state,State of Israel,state→diplomacy,https://www.aljazeera.com/news/2023/10/18/us-vetoes-un-resolution-calling-for-gaza-ceasefire,Blocked ceasefire resolution
israel_mod,Israeli Ministry of Defense,conducted,op_edge,Operation Protective Edge,state→war,https://www.hrw.org/report/2014/09/11/black-flag,Israeli-led operation
blackrock,BlackRock Inc.,index_fund_holder_of,comcast,Comcast Corp.,finance→media,https://www.blackrock.com/individual/products/239726/ishares-us-telecom-etf,Parent of NBCUniversal (CNN owner)
